uid,video_id,start_seconds,stop_seconds,narration,verb,noun,location
1394,P01_09,1668.84,1669.59,open salt,open,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1395,P01_09,1669.69,1672.26,pour salt,pour,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1396,P01_09,1671.8,1672.54,close salt,close,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1397,P01_09,1672.89,1673.64,put down salt,put-down,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1398,P01_09,1674.53,1675.96,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1399,P01_09,1676.06,1678.53,slice olives,slice,olive,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1400,P01_09,1677.61,1715.91,continue slicing olives,slice,olive,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1401,P01_09,1700.31,1724.65,continue slicing olives,slice,olive,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1402,P01_09,1730.06,1732.84,dry hands,dry,hand,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1403,P01_09,1734.01,1735.06,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1404,P01_09,1735.77,1736.93,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1405,P01_09,1736.31,1738.09,put down knife,put-down,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1406,P01_09,1738.19,1739.09,take tong,take,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1407,P01_09,1738.33,1739.59,put down tong,put-down,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1408,P01_09,1738.78,1739.64,close drawer,close,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1409,P01_09,1739.28,1741.27,close container,close,container,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1410,P01_09,1741.3,1742.76,put container into cupboard,put,container,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1411,P01_09,1743.87,1745.35,take tong,take,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1412,P01_09,1749.19,1751.71,put down tong,put-down,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1413,P01_09,1754.21,1755.46,take lid,take,lid,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1414,P01_09,1755.1,1757.85,close olives,close,olive,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1415,P01_09,1759.22,1760.63,take olives,take,olive,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1416,P01_09,1761.86,1762.82,open fridge,open,fridge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1417,P01_09,1762.73,1768.78,put olives into fridge,put,olive,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1418,P01_09,1768.88,1769.74,close fridge,close,fridge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1419,P01_09,1772.86,1774.07,dry hands,dry,hand,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1420,P01_09,1774.03,1775.11,take tongs,take,tongs,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1421,P01_09,1775.67,1777.35,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1422,P01_09,1777.78,1780.28,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1423,P01_09,1780.88,1781.84,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1424,P01_09,1782.19,1783.46,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1425,P01_09,1784.15,1785.29,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1426,P01_09,1785.89,1787.82,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1427,P01_09,1791.49,1792.97,put down tongs,put-down,tongs,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1428,P01_09,1793.16,1794.11,open cupboard,open,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1429,P01_09,1799.27,1800.96,take trays,take,tray,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1430,P01_09,1800.77,1802.41,close cupboard,close,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1431,P01_09,1802.98,1805.08,put down trays,put-down,tray,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1432,P01_09,1804.18,1807.19,move paper towel,move,towel:paper,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1433,P01_09,1819.29,1820.76,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1434,P01_09,1820.86,1822.11,take scissors,take,scissors,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1435,P01_09,1822.21,1824.24,close drawer,close,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1436,P01_09,1824.34,1830.3,cut baking paper,cut,paper:baking,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1437,P01_09,1830.4,1831.27,put down baking paper,put-down,paper:baking,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1438,P01_09,1830.5,1832.34,put down scissors,put-down,scissors,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1439,P01_09,1832.6,1839.1,lay baking paper onto tray,lay,paper:baking,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1440,P01_09,1839.44,1840.61,take scissors,take,scissors,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1441,P01_09,1841.29,1849.85,cut baking paper,cut,paper:baking,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1442,P01_09,1852.48,1860.74,lay baking paper onto tray,lay,paper:baking,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1443,P01_09,1862.25,1864.13,take tong,take,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1444,P01_09,1863.08,1864.14,adjust hob,adjust,hob,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1445,P01_09,1864.19,1866.74,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1446,P01_09,1864.44,1866.65,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1447,P01_09,1866.84,1868.61,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1448,P01_09,1867.98,1868.63,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1449,P01_09,1868.71,1870.63,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1450,P01_09,1869.65,1870.4,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1451,P01_09,1870.19,1872.29,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1452,P01_09,1872.56,1873.31,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1453,P01_09,1880.37,1881.34,put down tong,put-down,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1454,P01_09,1882.53,1888.73,take baking paper,take,paper:baking,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1455,P01_09,1889.08,1890.14,take scissors,take,scissors,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1456,P01_09,1890.76,1896.26,take baking paper,take,paper:baking,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1457,P01_09,1896.3,1897.01,put down scissors,put-down,scissors,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1458,P01_09,1897.22,1899.31,put down baking paper,put-down,paper:baking,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1459,P01_09,1899.88,1900.45,take baking paper,take,paper:baking,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1460,P01_09,1901.93,1903.07,move tray,move,tray,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1461,P01_09,1902.96,1904.17,put down tray,put-down,tray,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1462,P01_09,1905.69,1914.81,lay baking paper onto tray,lay,paper:baking,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1463,P01_09,1920.34,1921.09,take scissors,take,scissors,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1464,P01_09,1921.32,1922.41,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1465,P01_09,1922.39,1923.64,put scissors into drawer,put,scissors,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1466,P01_09,1923.25,1924.02,close drawer,close,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1467,P01_09,1933.59,1935.09,move plate,move,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1468,P01_09,1935.86,1936.6,take tong,take,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1469,P01_09,1937.34,1939.78,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1470,P01_09,1939.88,1941.59,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1471,P01_09,1941.69,1943.24,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1472,P01_09,1943.34,1944.54,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1473,P01_09,1944.64,1946.02,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1474,P01_09,1946.12,1949.28,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1475,P01_09,1949.38,1951.43,flip aubergine,flip,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1476,P01_09,1958.55,1959.49,put down tong,put-down,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1477,P01_09,1960.61,1961.39,open cupboard,open,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1478,P01_09,1961.58,1963.39,take plate,take,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1479,P01_09,1963.17,1963.94,close cupboard,close,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1480,P01_09,1966.48,1967.98,put down plate,put-down,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1481,P01_09,1967.65,1971.53,take paper,take,paper,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1482,P01_09,1972.7,1976.73,fold paper,fold,paper,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1483,P01_09,1976.97,1978.06,put down paper,put-down,paper,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1484,P01_09,1978.86,1979.41,take tong,take,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1485,P01_09,1987.05,1989.05,take aubergine,take,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1486,P01_09,1987.66,1989.99,put aubergine onto plate,put,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1487,P01_09,1989.32,1990.29,put aubergine onto plate,put,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1488,P01_09,1990.63,1995.14,take aubergine,take,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1489,P01_09,1990.75,1992.58,take aubergine,take,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1490,P01_09,1993.56,1995.98,put aubergine onto plate,put,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1491,P01_09,1995.06,1996.01,put aubergine onto plate,put,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1492,P01_09,1996.76,1998.84,take aubergine,take,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1493,P01_09,2001.55,2002.62,put aubergine onto plate,put,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1494,P01_09,2003.31,2007.67,take aubergine,take,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1495,P01_09,2007.4,2008.48,put aubergine onto plate,put,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1496,P01_09,2009.33,2012.15,take aubergine,take,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1497,P01_09,2013.33,2013.95,put aubergine onto plate,put,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1498,P01_09,2016,2018.22,take aubergine,take,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1499,P01_09,2024.26,2025.26,put aubergine onto plate,put,aubergine,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1500,P01_09,2029.9,2031.24,take pan,take,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1501,P01_09,2031.36,2033.36,put down pan,put-down,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1502,P01_09,2034.76,2036.24,put down tongs,put-down,tongs,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1503,P01_09,2037.44,2039.77,take tray,take,tray,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1504,P01_09,2040.24,2043.16,put down tray,put-down,tray,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1505,P01_09,2042.58,2045.04,move blade,move,blade,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1506,P01_09,2045.66,2046.69,take cutting board and knife,take,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1507,P01_09,2046.2,2049.53,move cutting board,move,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1508,P01_09,2049.2,2052.45,move plate,move,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1509,P01_09,2049.89,2051.21,move olives,move,olive,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1510,P01_09,2051.06,2056.1,take olives,take,olive,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1511,P01_09,2056.14,2058.11,open fridge,open,fridge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1512,P01_09,2058.21,2059.7,put olives into fridge,put,olive,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1513,P01_09,2062.05,2063.51,take mozzarella,take,mozzarella,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1514,P01_09,2063.4,2065.51,close fridge,close,fridge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1515,P01_09,2068.88,2070.38,put down mozzarella,put-down,mozzarella,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1516,P01_09,2071.43,2081.92,take dough,take,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1517,P01_09,2081.27,2082.27,put down bowl,put-down,bowl,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1518,P01_09,2082.75,2085.25,place dough onto tray,place,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1519,P01_09,2085.35,2087.1,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1520,P01_09,2087.84,2090.94,dry knife,dry,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1521,P01_09,2091.97,2101.32,cut dough into halves,cut,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1522,P01_09,2101.42,2117.85,separate dough,separate,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1523,P01_09,2120.62,2123.83,put dough into bowl,put,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1524,P01_09,2123.24,2123.92,take bowl,take,bowl,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1525,P01_09,2124.99,2128.49,take dough,take,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1526,P01_09,2138.84,2139.59,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1527,P01_09,2146.06,2162.47,looking for something,look-for,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1528,P01_09,2153.82,2156.86,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1529,P01_09,2160.19,2161.23,close drawer,close,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1530,P01_09,2160.29,2161.58,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1531,P01_09,2161.36,2162.68,take rolling pin,take,pin:rolling,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1532,P01_09,2162.46,2163.28,close drawer,close,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1533,P01_09,2164.05,2169.22,roll dough,roll,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1534,P01_09,2169.57,2170.98,move tray,move,tray,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1535,P01_09,2171.42,2176.41,roll dough,roll,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1536,P01_09,2176.43,2179.76,roll dough,roll,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1537,P01_09,2193.86,2194.61,take flour,take,flour,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1538,P01_09,2195.69,2197.29,put down flour bag,put-down,bag:flour,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1539,P01_09,2196.85,2199.35,unroll,unroll,bag:flour,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1540,P01_09,2197.64,2199.43,unfold flour bag,unfold,bag:flour,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1541,P01_09,2199.79,2201.56,take flour,take,flour,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1542,P01_09,2201.51,2203.83,spread flour,spread,flour,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1543,P01_09,2204.39,2216.09,roll dough,roll,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1544,P01_09,2211.81,2223.93,roll dough,roll,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1545,P01_09,2225.51,2244.74,spread dough,spread,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1546,P01_09,2247.54,2252.82,spread dough,spread,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1547,P01_09,2254.14,2262.68,place potato onto dough,place,potato,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1548,P01_09,2254.19,2255.44,take potato,take,potato,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1549,P01_09,2256.1,2257.1,take potato,take,potato,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1550,P01_09,2257.2,2257.95,place potato onto dough,place,potato,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1551,P01_09,2257.92,2261.54,take potato,take,potato,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1552,P01_09,2261.27,2272.97,place potato onto dough,place,potato,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1553,P01_09,2273.09,2274.24,take onions,take,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1554,P01_09,2274.03,2281.32,spread onions,spread,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1555,P01_09,2281.42,2283.22,take onions,take,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1556,P01_09,2284.04,2285.31,take onions,take,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1557,P01_09,2286.51,2290.14,spread onions onto dough,spread,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1558,P01_09,2291.35,2299.12,peel onion,peel,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1559,P01_09,2299.18,2300.17,put onion onto dough,put,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1560,P01_09,2300.27,2301.3,take onion,take,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1561,P01_09,2301.84,2302.48,put onion onto dough,put,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1562,P01_09,2303,2303.65,take onion,take,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1563,P01_09,2303.65,2304.72,put onion onto dough,put,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1564,P01_09,2308.11,2309.9,turn on tap,turn-on,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1565,P01_09,2309.68,2312.17,wash hands,wash,hand,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1566,P01_09,2312.82,2319.41,dry hands,dry,hand,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1567,P01_09,2312.96,2313.63,turn off tap,turn-off,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1568,P01_09,2319.43,2320.53,take mozzarella,take,mozzarella,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1569,P01_09,2320.63,2337,open mozzarella bag,open,bag:mozzarella,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1570,P01_09,2337.64,2345.02,spread mozzarella onto dough,spread,mozzarella,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1571,P01_09,2344.35,2352.19,spread mozzarella onto dough,spread,mozzarella,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1572,P01_09,2352.29,2353.03,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1573,P01_09,2353.13,2358.44,put down knife,put-down,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1574,P01_09,2358.56,2366.78,spread mozzarella,spread,mozzarella,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1575,P01_09,2364.99,2372.51,continue spreading mozzarella,spread,mozzarella,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1576,P01_09,2372.61,2373.17,put down mozzarella,put-down,mozzarella,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1577,P01_09,2373.26,2375.62,spread mozzarella,spread,mozzarella,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1578,P01_09,2376.44,2377.16,take salt,take,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1579,P01_09,2377.23,2378.28,open salt,open,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1580,P01_09,2378.61,2383.36,pour salt,pour,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1581,P01_09,2384.91,2386.29,take oil,take,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1582,P01_09,2386.31,2387.89,open oil,open,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1583,P01_09,2387.7,2394.63,pour oil,pour,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1584,P01_09,2394.73,2397.5,close oil,close,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1585,P01_09,2396.19,2399.94,put down oil,put-down,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1586,P01_09,2400.04,2402.73,take mushrooms,take,mushroom,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1587,P01_09,2402.86,2424.5,place mushrooms onto dough,place,mushroom,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1588,P01_09,2406.05,2426.85,place mushrooms onto dough,place,mushroom,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1589,P01_09,2427.7,2430.45,put down plate,put-down,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1590,P01_09,2428.82,2431.06,move flour bag,move,bag:flour,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1591,P01_09,2431.64,2432.64,take rolling pin,take,pin:rolling,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1592,P01_09,2433.86,2434.76,put down rolling pin,put-down,pin:rolling,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1593,P01_09,2435.24,2438.52,take pizza,take,pizza,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1594,P01_09,2438.19,2439.19,put down pizza,put-down,pizza,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1595,P01_09,2441.29,2442.79,open oven,open,oven,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1596,P01_09,2442.77,2447.25,put pizza into oven,put,pizza,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1597,P01_09,2447.49,2448.49,close oven,close,oven,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1598,P01_09,2449.92,2451.65,move mozzarella bag,move,bag:mozzarella,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
1599,P01_09,2454.02,2456.24,take dough,take,dough,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_09.MP4
